Symbol,Volume Buy,Volume Sell,Value Buy,Value Sell,Percentage
S,1964400,1123800,6236272.00,3562862.00,2.76
S11,1800,0,13620.00,0,0.43
SABINA,200,200,7175.00,7200.00,1.03
SAM,0,44000,0,30360.00,6.03
SAMART,54800,26400,376745.00,180860.00,17.98
SAMTEL,0,500,0,4250.00,4.46
SANKO,144500,68500,221017.00,104115.00,0.24
SAPPE,4500,85400,104410.00,1984650.00,7.07
SAT,130300,56506,3047470.00,1318279.20,26.18
SAWAD,878925,938300,36480118.75,38968900.00,11.97
SC,48500,58000,173644.00,207572.00,4.94
SCB,1383702,815600,202237342.00,119191375.00,26.94
SCC,411010,264000,185945920.00,119528800.00,18.00
SCCC,1900,5300,446900.00,1247200.00,15.23
SCI,130100,98000,430350.00,319820.00,1.65
SCN,129700,600,495454.00,2288.00,3.09
SCP,0,20000,0,168000.00,19.72
SEAFCO,38700,34100,338925.00,298690.00,9.43
SE-ED,3400,0,10576.00,0,22.37
SELIC,1000,1000,1890.00,1900.00,0.03
SENA,55800,0,209772.00,0,1.38
SF,118138,179975,1016053.00,1541730.65,8.50
SGF,832839,735170,1239273.01,1093671.90,3.16
SGP,4894300,855000,58464730.00,10170490.00,30.19
SHANG,0,500,0,38250.00,31.25
SIMAT,24100,43200,49290.00,89046.00,1.24
SIMAT-W3,0,5000,0,2850.00,1.11
SIRI,1736500,6133100,2800530.00,9900471.00,22.16
SITHAI,52400,0,66498.00,0,7.92
SKN,7800,2500,36078.00,11710.00,1.28
SKY,16400,0,220540.00,0,2.06
SLP,12900,0,11739.00,0,0.96
SMT,13200,0,31496.00,0,0.93
SMT-W1,0,123900,0,12390.00,1.11
SNC,7800,8200,112610.00,118120.00,6.62
SPA,23000,0,347710.00,0,1.80
SPALI,884100,625700,21322200.00,15082130.00,31.85
SPALI-W4,0,21400,0,421580.00,5.83
SPCG,103400,5802,2161570.00,121261.60,16.01
SPI,90200,100,6795950.00,7450.00,35.80
SPRC,3384000,1423900,51501870.00,21654810.00,24.27
SPVI,54700,83300,78815.00,120144.00,1.16
SQ,1506800,1636500,4797564.00,5180648.00,6.49
SSP,199610,3000,1729571.00,25965.00,5.43
SST,2400,900,14315.00,5365.00,4.07
STA,961000,299600,12085370.00,3771880.00,14.00
STANLY,100,800,26000.00,208500.00,10.47
STEC,869600,997600,19681110.00,22525900.00,13.84
STPI,0,18000,0,80866.00,1.57
SUN,0,38000,0,122778.00,2.99
SUPER,12269800,11280700,9185729.00,8469395.00,6.40
SUPER-W4,50000,0,5000.00,0,0.04
SUSCO,27900,45000,91512.00,147600.00,12.17
SUSCO-W1,300,50300,30.00,5030.00,5.96
SVI,2582532,3340602,15004740.60,19380477.00,10.83
SVI-W3,20000,800,44400.00,1744.00,0.89
SVOA,44500,4500,62076.00,6300.00,1.73
S-W1,1000,0,150.00,0,0.01
SWC,4900,2200,88910.00,39820.00,0.70
SYMC,700,1000,3975.00,5740.00,5.70
SYNEX,3700,0,46620.00,0,0.21
SYNTEC,168100,552900,653818.00,2146592.00,18.08
TAE,30000,30000,66600.00,66600.00,2.74
TAPAC,129600,10000,922905.00,70940.00,5.24
TASCO,445700,988200,6903730.00,15292060.00,7.83
TC,5000,28000,15700.00,87920.00,58.36
TCAP,335200,421400,17952575.00,22564675.00,35.55
TCC,0,2200,0,858.00,0.16
TCC-W4,1200,900,158.00,117.00,3.76
TCJ,5000,0,29000.00,0,3.04
TCJ-W2,5100,1000,5027.00,1080.00,0.07
TCMC,29200,22300,77002.00,58128.00,1.27
TEAM,0,51300,0,57459.00,3.44
TEAMG,933400,822300,2182496.00,1919638.00,4.23
TFG,58100,167600,250278.00,721250.00,10.15
TFMAMA,100,0,16050.00,0,3.12
TGPRO,988000,988000,158080.00,163021.00,4.32
THAI,290900,669900,3843690.00,8835880.00,45.61
THANA,0,8000,0,17440.00,0.76
THANI,136400,3489200,1047435.00,26691195.00,45.31
THCOM,1003200,339000,10110070.00,3399785.00,13.57
THE,75500,2197800,264252.00,7681826.00,7.73
THG,1000,0,32125.00,0,0.15
THRE,0,19800,0,21798.00,0.85
THREL,26300,2700,209085.00,21465.00,4.42
TIP,2400,50537,59420.00,1253483.90,4.17
TIPCO,26500,45900,248850.00,429960.00,7.97
TISCO,411520,503900,33370675.00,40832975.00,42.92
TITLE,1450200,562200,11088165.00,4299900.00,27.46
TK,0,3800,0,41800.00,15.08
TKN,1076400,914600,16861270.00,14282160.00,11.32
TKS,80900,29300,914880.00,330700.00,2.00
TKT,55300,0,88436.00,0,6.66
TMB,6616400,27727100,14490294.00,60849376.00,20.79
TMI,1,0,.70,0,0.00
TMILL,36500,10000,115730.00,31600.00,4.40
TMT,500,24400,7300.00,356150.00,11.24
TNP,0,100,0,187.00,0.00
TOA,119500,194300,4136550.00,6720175.00,21.97
TOG,0,500,0,2410.00,0.19
TOP,1555720,422300,131915965.00,35769300.00,17.37
TPAC,62900,3200,793160.00,42850.00,2.44
TPBI,300,0,2470.00,0,2.03
TPCH,24300,58800,257580.00,623510.00,10.12
TPCORP,1100,0,16170.00,0,13.75
TPIPL,275700,153900,510141.00,285475.00,0.95
TPIPP,1417700,1150300,8881065.00,7242655.00,9.88
TPOLY,11000,26700,32780.00,79766.00,5.53
TR,100,0,4925.00,0,2.63
TRC,76000,391200,36275.00,178381.00,0.32
TRITN,2899100,1494500,1005025.00,523076.00,10.45
TRITN-W3,0,10000,0,1900.00,0.13
TRU,200,0,936.00,0,1.72
TRUBB,400,600,700.00,1059.00,0.17
TRUE,27734812,20190316,184307364.80,134218735.60,27.77
TSE,0,4100,0,12558.00,0.58
TSR-W1,0,100000,0,62000.00,6.63
TTA,304900,51400,2184455.00,367510.00,5.41
TTA-W5,1000,0,200.00,0,0.01
TTCL,371709,7200,3135311.50,60300.00,9.23
TTCL-W1,39200,14101,46165.00,17402.14,0.13
TTW,385100,765000,4772260.00,9485720.00,24.05
TU,2819500,776600,49447630.00,13602900.00,15.33
TVD,33000,0,51310.00,0,0.91
TVD-W2,0,11900,0,7259.00,0.15
TVO,144600,416000,4297450.00,12381325.00,25.40
TWPC,2500,64600,22750.00,583105.00,20.22
TWZ,18000,18000,2340.00,2340.00,1.24
TYCN,300000,27000,909690.00,80200.00,36.50
U,6251845,8443500,140355.80,212150.00,8.86
UAC-W2,0,100,0,80.00,0.00
UEC,56200,3700,85760.00,5635.00,1.87
UKEM,20900,0,19261.00,0,0.23
UKEM-W2,236000,0,123760.00,0,6.92
UMI,55000,495000,78000.00,693100.00,11.49
UNIQ,138100,59300,1755420.00,758200.00,3.37
UOBKH,2000,0,8400.00,0,3.36
UPA,14094000,1954000,7440439.00,1058610.00,9.06
UTP,3600,29500,41040.00,336400.00,4.91
UV,1219200,795000,10197795.00,6587600.00,5.40
UVAN,0,5000,0,33250.00,1.28
UWC,1466000,1456000,102720.00,102936.00,4.04
VCOM,0,6000,0,18840.00,1.05
VGI,878300,1886000,6309475.00,13485380.00,29.85
VIBHA,253800,357200,599598.00,843416.00,11.44
VNG,6100,0,47110.00,0,0.71
VNT,102400,46500,2572655.00,1165795.00,14.53
VPO,5000,0,3250.00,0,0.42
WHA,6700600,8403400,26540376.00,33250668.00,12.61
WHAUP,783400,350300,4660990.00,2071880.00,20.01
WHA-W1,0,600,0,3720.00,0.40
WICE,539110,421010,2588853.80,2016780.80,3.27
WINNER,500,0,1644.00,0,0.14
WORK,9900,5200,397500.00,208250.00,0.94
WP,2600,154900,20150.00,1185130.00,2.54
WPH,2500,0,6700.00,0,0.07
XO,82200,67900,863720.00,714600.00,5.21
XO-W1,600,3100,3630.00,18755.00,0.24
ZIGA,87000,56800,290644.00,190016.00,5.06
ZMICO,11900,0,13804.00,0,0.68
